Ubicación,confirmado_acumulados,casos_por_millon,recuperadas,muertes
Siria,780,45,246,43
San Marino,716,"21,326",,42
Lesoto,702,350,171,14
Reunión,667,778,592,4
Vietnam,620,6,373,5
Bahamas,599,"1,554",91,14
Tanzania,509,9,183,21
Gambia,498,212,68,9
República de China,475,20,441,7
Guyana,430,549,185,20
Burundi,395,36,304,1
Comoras,386,442,330,7
Birmania,353,6,297,6
Mauricio,344,272,332,10
Isla de Man,336,"4,033",312,24
Jersey,335,"3,137",315,15
Mongolia,291,88,225,0
Eritrea,279,80,225,0
Martinica,269,693,,15
Guadalupe,265,651,,14
Guernsey,252,"3,972",238,13
Camboya,240,16,196,0
Islas Feroe,225,"4,317",188,0
Islas Caimán,203,"3,084",202,1
Gibraltar,187,"5,549",180,0
Trinidad y Tobago,173,127,132,8
Bermudas,156,"2,436",,9
Chipre del Norte,142,436,111,4
Brunéi,141,319,138,3
Sint Maarten,128,"3,152",64,15
Barbados,122,425,98,7
Aruba,121,"1,077",105,3
Mónaco,120,"3,133",105,4
Seychelles,114,"1,168",39,0
Islas Turcas y Caicos,114,"2,756",39,2
Papúa Nueva Guinea,110,12,34,2
Bután,102,138,89,0
Antigua y Barbuda,91,943,67,3
Liechtenstein,89,"2,297",,1
Polinesia Francesa,62,225,60,0
Belice,56,137,30,2
San Vicente y las Granadinas,54,488,44,0
San Martín,53,"1,483",,3
Macao,46,68,46,0
Curazao,29,183,27,1
Fiyi,27,31,19,1
Santa Lucía,25,140,22,0
Timor Oriental,24,17,24,0
Granada,24,214,23,0
Nueva Caledonia,22,78,22,0
Åland,21,703,0,0
Laos,20,3,19,0
Dominica,18,251,18,0
San Cristóbal y Nieves,17,322,16,0
Groenlandia,14,250,13,0
